region_id,region_name,fault_distance_m,fault_intersects,geology_type_joined,soil_type_joined,groundwater_mean,slope_mean,weathering_joined,fault_score,geology_score,soil_score,groundwater_score,slope_score,weathering_score,active_weight_sum,final_risk_score,risk_grade,land_use_recommendation
G001_019,grid_G001_019,,False,,SR,0.0,,,0,0,20.0,100.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G001_020,grid_G001_020,,False,,SR,-9999.0,,,0,0,20.0,10.0,0,0,0.35,15.714285714285715,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G001_021,grid_G001_021,,False,,null,5.102083333333334,,,0,0,50.0,35.0,0,0,0.35,43.57142857142858,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G001_022,grid_G001_022,,False,,SR,-3.2269002123142254,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G001_023,grid_G001_023,,False,,SR,-4.676344086021505,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G001_025,grid_G001_025,,False,,null,-8.683611111111112,,,0,0,50.0,35.0,0,0,0.35,43.57142857142858,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G002_024,grid_G002_024,,False,,MR,0.0,,,0,0,15.0,100.0,0,0,0.35,51.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G002_025,grid_G002_025,,False,,MR,0.0,,,0,0,15.0,100.0,0,0,0.35,51.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G004_020,grid_G004_020,,False,,SR,,,,0,0,20.0,0.0,0,0,0.35,11.428571428571429,매우 낮음,"초고층 건물, 대규모 공공시설, 고밀도 주거단지, 산업단지 가능"
G004_021,grid_G004_021,,False,,SR,-10.026246913580247,,,0,0,20.0,10.0,0,0,0.35,15.714285714285715,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G004_022,grid_G004_022,,False,,SR,-10624.856875,,,0,0,20.0,10.0,0,0,0.35,15.714285714285715,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G004_023,grid_G004_023,,False,,GP,-4.7028731343283585,,,0,0,25.0,60.0,0,0,0.35,40.0,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G004_027,grid_G004_027,,False,,SR,-1.3985294117647058,,,0,0,20.0,80.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G005_022,grid_G005_022,,False,,SR,-0.4321428571428571,,,0,0,20.0,100.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G005_023,grid_G005_023,,False,,SR,-8.756666666666666,,,0,0,20.0,35.0,0,0,0.35,26.42857142857143,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G005_024,grid_G005_024,,False,,GV,0.0,,,0,0,50.0,100.0,0,0,0.35,71.42857142857143,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G005_025,grid_G005_025,,False,,GP,7.2,,,0,0,25.0,35.0,0,0,0.35,29.28571428571429,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G011_020,grid_G011_020,,False,,SR,0.0,,,0,0,20.0,100.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G012_032,grid_G012_032,,False,,SM,,,,0,0,55.0,0.0,0,0,0.35,31.42857142857143,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G014_023,grid_G014_023,,False,,GM,-3.1,,,0,0,35.0,60.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
